date,site,plot,species,percentage.cover
6/15/2016,GB57,N,ROWO,5
6/15/2016,GB57,W,ROWO,1
6/15/2016,GB57,W,SYOC,1
6/15/2016,GB57,S,SYOC,75
6/15/2016,GB57,S,ROWO,20
6/15/2016,GB57,E,ROWO,5
 5/31/16,GB59,C,none,0
 5/31/16,GB59,N,none,0
 5/31/16,GB59,W,none,0
 5/31/16,GB59,S,none,0
 5/31/16,GB59,E,none,0
